         26684135 function calls (26579068 primitive calls) in 110.696 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10015    0.048    0.000    0.771    0.000 PlotCurveItem.py:225(setShadowPen)
   144316    0.399    0.000    0.735    0.000 Point.py:106(length)
    10015    0.060    0.000    0.699    0.000 PlotCurveItem.py:219(setPen)
    10016    0.092    0.000    0.691    0.000 ScatterPlotItem.py:414(setPen)
     5008    0.009    0.000    0.672    0.000 planning.py:316(__init__)
     5008    0.020    0.000    0.663    0.000 planning.py:368(create_plan)
    10015    0.250    0.000    0.648    0.000 ScatterPlotItem.py:291(addPoints)
     5008    0.043    0.000    0.634    0.000 planning.py:261(_create_plan)
   390851    0.603    0.000    0.603    0.000 {itemChange}
    49344    0.196    0.000    0.591    0.000 GraphicsWidget.py:53(shape)
     5008    0.256    0.000    0.586    0.000 planning.py:174(_create_complex_plan)
    71939    0.070    0.000    0.580    0.000 {method 'any' of 'numpy.ndarray' objects}
    10015    0.075    0.000    0.563    0.000 ScatterPlotItem.py:436(setBrush)
    35076    0.063    0.000    0.554    0.000 GraphicsItem.py:544(informViewBoundsChanged)
        1    0.000    0.000    0.554    0.554 decs.py:4(start)
        1    0.000    0.000    0.554    0.554 explore.py:61(cons_plots)
       32    0.001    0.000    0.545    0.017 PlotWidget.py:43(__init__)
   132944    0.525    0.000    0.525    0.000 {built-in method drawLine}
    20094    0.087    0.000    0.524    0.000 functions.py:230(mkBrush)
     5119    0.011    0.000    0.504    0.000 PlotWidget.py:75(viewRangeChanged)
    30336    0.139    0.000    0.497    0.000 GraphicsItem.py:43(__init__)
   379494    0.486    0.000    0.486    0.000 {built-in method geometry}
    14688    0.029    0.000    0.449    0.000 Point.py:74(__mul__)
       32    0.014    0.000    0.444    0.014 PlotItem.py:100(__init__)
    14692    0.101    0.000    0.420    0.000 Point.py:95(_math_)
    15007    0.068    0.000    0.404    0.000 ViewBox.py:567(suggestPadding)
    25440    0.377    0.000    0.377    0.000 {built-in method drawText}
    10750    0.202    0.000    0.349    0.000 AxisItem.py:340(setRange)
    10622    0.032    0.000    0.346    0.000 AxisItem.py:375(linkedViewChanged)
   330318    0.336    0.000    0.336    0.000 {parentItem}
1950124/1949678    0.328    0.000    0.329    0.000 {len}
    14688    0.101    0.000    0.318    0.000 {built-in method setTransform}
    30336    0.106    0.000    0.318    0.000 GraphicsScene.py:84(registerObject)
    39647    0.201    0.000    0.313    0.000 PlotCurveItem.py:143(pixelPadding)
   274379    0.295    0.000    0.295    0.000 {built-in method mapRectFromParent}
    10015    0.128    0.000    0.291    0.000 ScatterPlotItem.py:532(updateSpots)
    15135    0.090    0.000    0.280    0.000 fromnumeric.py:1564(clip)
   300567    0.260    0.000    0.260    0.000 {sip.cast}
  1457212    0.253    0.000    0.253    0.000 {method 'get' of 'dict' objects}
    24657    0.074    0.000    0.250    0.000 ViewBox.py:220(checkSceneChange)
    60029    0.139    0.000    0.249    0.000 GraphicsWidget.py:45(width)
    34718    0.087    0.000    0.246    0.000 PlotCurveItem.py:176(viewTransformChanged)
    39827    0.246    0.000    0.246    0.000 {numpy.core.multiarray.empty}
     4992    0.198    0.000    0.233    0.000 AxisItem.py:444(tickSpacing)
        2    0.001    0.000    0.228    0.114 __init__.py:5(<module>)
    19999    0.101    0.000    0.224    0.000 PlotItem.py:675(updateParamList)
     9648    0.059    0.000    0.221    0.000 fromnumeric.py:1621(sum)
    24691    0.219    0.000    0.219    0.000 {built-in method scene}
    14976    0.076    0.000    0.214    0.000 numpy_fix.py:8(concatenate)
   270231    0.211    0.000    0.211    0.000 weakref.py:127(get)
    34717    0.166    0.000    0.203    0.000 ScatterPlotItem.py:663(viewTransformChanged)
   371872    0.197    0.000    0.197    0.000 {built-in method x}
    14975    0.056    0.000    0.194    0.000 PlotDataItem.py:600(pixelPadding)
    15007    0.067    0.000    0.189    0.000 fromnumeric.py:38(_wrapit)
     9984    0.031    0.000    0.177    0.000 GraphicsItem.py:315(mapToDevice)
   765991    0.177    0.000    0.177    0.000 {method 'append' of 'list' objects}
    91318    0.175    0.000    0.175    0.000 AxisItem.py:351(linkedView)
    90137    0.168    0.000    0.168    0.000 {childItems}
    10016    0.042    0.000    0.167    0.000 fromnumeric.py:2249(prod)
       32    0.003    0.000    0.167    0.005 ViewBox.py:72(__init__)
    45086    0.097    0.000    0.164    0.000 GraphicsWidget.py:42(height)
    94809    0.162    0.000    0.162    0.000 PlotCurveItem.py:215(invalidateBounds)
   394776    0.162    0.000    0.162    0.000 {built-in method height}
     9648    0.038    0.000    0.160    0.000 fromnumeric.py:2048(amax)
    12039    0.023    0.000    0.160    0.000 fromnumeric.py:1762(any)
   371872    0.158    0.000    0.158    0.000 {built-in method y}
    30336    0.072    0.000    0.157    0.000 weakref.py:98(__setitem__)
     9648    0.017    0.000    0.156    0.000 _methods.py:23(_sum)
   183189    0.155    0.000    0.155    0.000 {built-in method normalized}
   197453    0.153    0.000    0.153    0.000 {all}
        2    0.000    0.000    0.150    0.075 __init__.py:168(importAll)
      3/2    0.001    0.000    0.150    0.075 __init__.py:134(importModules)
    79/72    0.004    0.000    0.148    0.002 {__import__}
    20030    0.071    0.000    0.144    0.000 PlotDataItem.py:660(dataType)
    19999    0.104    0.000    0.143    0.000 PlotItem.py:1028(updateDecimation)
       32    0.006    0.000    0.141    0.004 ViewBoxMenu.py:13(__init__)
   127952    0.137    0.000    0.137    0.000 {built-in method setColor}
    79646    0.137    0.000    0.137    0.000 {deviceTransform}
   128080    0.136    0.000    0.136    0.000 {built-in method color}
